SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2
,toaster,1,0.21,0.17,0.1,0.17,N/A,0.04,0.07,0.07,0,-0.04,-0.04,0.02,0.08,-0.02,0.01,0,0.08,0,0.07,0.055,0.055,,0.231176471,0.16125,0.148,
,bread,0.21,1,0.56,0.3,0.38,N/A,0.16,0.11,0.1,0.07,0.01,0.02,0.08,0,0.09,0.04,0.02,0.15,0.04,0.11,0.136111111,0.131764706,0.21,,,,
,sandwich,0.17,0.56,1,0.32,0.41,N/A,0.15,0.08,0.1,0.15,0.1,-0.01,0.12,-0.04,0.13,0.11,0.07,0.21,0.1,0.08,0.156111111,0.13,0.365,,,,
,cafe,0.1,0.3,0.32,1,0.5,N/A,0.16,0.11,0.05,0.16,0.19,0.04,0.18,-0.04,0.11,0.21,0.03,0.29,0.25,0.11,0.170555556,0.156666667,0.24,,,,
,coffee,0.17,0.38,0.41,0.5,1,N/A,0.17,0.13,0.07,0.16,0.09,-0.01,0.18,-0.1,0.02,0.09,0.07,0.25,0.08,0.13,0.155,0.095,0.365,,,,
,Starbucks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,green straws,0.04,0.16,0.15,0.16,0.17,N/A,1,0.2,0.06,0.28,0.19,-0.01,0.51,0.06,0.1,0.03,0.05,0.17,0.21,0.2,0.151666667,0.157692308,0.136,,,,
,water,0.07,0.11,0.08,0.11,0.13,N/A,0.2,1,0.22,0.44,0.27,0.02,0.15,-0.01,0.05,0.02,0.06,0.15,0.08,1,0.175,0.204166667,0.116666667,,,,
,ice,0.07,0.1,0.1,0.05,0.07,N/A,0.06,0.22,1,0.03,-0.02,0.03,0.09,-0.02,0.01,0.04,0.04,0.14,0.06,0.22,0.071666667,0.056363636,0.095714286,,,,
,pool,0,0.07,0.15,0.16,0.16,N/A,0.28,0.44,0.03,1,0.29,0.03,0.25,0.09,0.06,0.12,0.13,0.26,0.16,0.44,0.173333333,0.183,0.16125,,,,
,beach,-0.04,0.01,0.1,0.19,0.09,N/A,0.19,0.27,-0.02,0.29,1,0.06,0.22,0.14,0.03,0.05,0.07,0.19,0.08,0.27,0.121666667,0.123333333,0.12,,,,
,Wilmington,-0.04,0.02,-0.01,0.04,-0.01,N/A,-0.01,0.02,0.03,0.03,0.06,1,0.03,-0.01,0.05,0,-0.04,0.15,0.01,0.02,0.018888889,0.02625,0.013,,,,
,blue sky,0.02,0.08,0.12,0.18,0.18,N/A,0.51,0.15,0.09,0.25,0.22,0.03,1,0.2,0.13,0.06,0.09,0.25,0.29,0.15,0.166666667,0.167142857,0.166363636,,,,
,kite,0.08,0,-0.04,-0.04,-0.1,N/A,0.06,-0.01,-0.02,0.09,0.14,-0.01,0.2,1,0.02,-0.01,0.02,0.09,0.08,-0.01,0.03,0.031666667,0.029166667,,,,
,field,-0.02,0.09,0.13,0.11,0.02,N/A,0.1,0.05,0.01,0.06,0.03,0.05,0.13,0.02,1,0.4,0.24,0.17,0.09,0.05,0.096111111,0.19,0.06,,,,
,football,0.01,0.04,0.11,0.21,0.09,N/A,0.03,0.02,0.04,0.12,0.05,0,0.06,-0.01,0.4,1,0.35,0.14,0.12,0.02,0.1,0.1575,0.083571429,,,,
,practice,0,0.02,0.07,0.03,0.07,N/A,0.05,0.06,0.04,0.13,0.07,-0.04,0.09,0.02,0.24,0.35,1,0.24,0.16,0.06,0.092222222,0.153333333,0.08,,,,
,stand,0.08,0.15,0.21,0.29,0.25,N/A,0.17,0.15,0.14,0.26,0.19,0.15,0.25,0.09,0.17,0.14,0.24,1,0.22,0.15,0.183333333,0.185,0.183125,,,,
,band,0,0.04,0.1,0.25,0.08,N/A,0.21,0.08,0.06,0.16,0.08,0.01,0.29,0.08,0.09,0.12,0.16,0.22,1,0.08,0.117222222,0.08,0.119411765,,,,
,water,0.07,0.11,0.08,0.11,0.13,N/A,0.2,1,0.22,0.44,0.27,0.02,0.15,-0.01,0.05,0.02,0.06,0.15,0.08,1,0.175,,0.175,,,,
,,,,,,,,,,,,,,,,,,,,,,0.123450292,0.126882232,0.149662909,,,,
2,Document,toaster,hot,beach,ocean,shark,bite,lip tattoos,ink,art,Olivia,flowers,spring,green,broccoli,gross,inside out,movie theater,popcorn,chocolate,yum,,,,,,,3
,toaster,1,0.17,-0.04,0,-0.04,0.06,0.01,-0.04,0,-0.03,0.02,0.02,0.04,0.08,0.01,0.17,0.05,0.15,0.13,-0.02,0.038947368,0.038947368,,0.197368421,0.087222222,0.078823529,
,hot,0.17,1,0.14,0.09,0.02,0.18,0.11,0.06,0.04,0.04,0.08,0.15,0.15,0.07,0.03,0.34,0.09,0.28,0.29,0.15,0.130526316,0.128333333,0.17,,,,
,beach,-0.04,0.14,1,0.31,0.14,0.1,0.07,0.02,0.02,-0.04,0.11,0.13,0.18,-0.03,0.05,0.18,0.02,0.11,0.02,0.03,0.08,0.083529412,0.05,,,,
,ocean,0,0.09,0.31,1,0.11,0.02,-0.01,0.02,0.02,0,0.05,0.07,0.08,0.03,0.01,0.12,0,0.03,-0.01,0,0.049473684,0.03375,0.133333333,,,,
,shark,-0.04,0.02,0.14,0.11,1,0.34,0.11,-0.02,0.02,0.05,-0.02,-0.07,0.03,0.01,-0.02,0.1,0.05,-0.04,0,0.06,0.043684211,0.04,0.0575,,,,
,bite,0.06,0.18,0.1,0.02,0.34,1,0.26,0.06,0.01,0.02,0.13,0.09,0.09,0.08,0,0.32,0.06,0.32,0.34,0.13,0.137368421,0.136428571,0.14,,,,
,lip tattoos,0.01,0.11,0.07,-0.01,0.11,0.26,1,0.09,0.07,0.14,0.07,0.15,0.14,0.06,0.08,0.41,0.09,0.21,0.22,0.13,0.126842105,0.143076923,0.091666667,,,,
,ink,-0.04,0.06,0.02,0.02,-0.02,0.06,0.09,1,0.21,0.03,0.06,0.08,0.06,-0.02,0.04,0.09,0.05,0.04,0.04,-0.03,0.044210526,0.054166667,0.027142857,,,,
,art,0,0.04,0.02,0.02,0.02,0.01,0.07,0.21,1,0.09,0.1,0.01,0,0.02,0.03,0.08,0.15,0.07,-0.01,0.1,0.054210526,0.058181818,0.04875,,,,
,Olivia,-0.03,0.04,-0.04,0,0.05,0.02,0.14,0.03,0.09,1,0.14,-0.01,0.04,0.01,0.01,0.11,0.09,0.04,0,-0.02,0.037368421,0.041,0.033333333,,,,
,flowers,0.02,0.08,0.11,0.05,-0.02,0.13,0.07,0.06,0.1,0.14,1,0.35,0.3,0.21,-0.01,0.23,0.03,0.09,0.13,0.16,0.117368421,0.165555556,0.074,,,,
,spring,0.02,0.15,0.13,0.07,-0.07,0.09,0.15,0.08,0.01,-0.01,0.35,1,0.28,0.09,0.04,0.28,0.04,0.11,0.07,-0.01,0.098421053,0.1125,0.088181818,,,,
,green,0.04,0.15,0.18,0.08,0.03,0.09,0.14,0.06,0,0.04,0.3,0.28,1,0.17,0.01,0.24,0.09,0.13,0.17,0.01,0.116315789,0.117142857,0.115833333,,,,
,broccoli,0.08,0.07,-0.03,0.03,0.01,0.08,0.06,-0.02,0.02,0.01,0.21,0.09,0.17,1,0.04,0.03,0.14,0.23,0.4,0.09,0.09,0.155,0.06,,,,
,gross,0.01,0.03,0.05,0.01,-0.02,0,0.08,0.04,0.03,0.01,-0.01,0.04,0.01,0.04,1,0.03,0.04,0.15,0.04,-0.02,0.029473684,0.048,0.022857143,,,,
,inside out,0.17,0.34,0.18,0.12,0.1,0.32,0.41,0.09,0.08,0.11,0.23,0.28,0.24,0.03,0.03,1,0.16,0.29,0.24,0.12,0.186315789,0.2025,0.182,,,,
,movie theater,0.05,0.09,0.02,0,0.05,0.06,0.09,0.05,0.15,0.09,0.03,0.04,0.09,0.14,0.04,0.16,1,0.28,0.1,-0.03,0.078947368,0.116666667,0.071875,,,,
,popcorn,0.15,0.28,0.11,0.03,-0.04,0.32,0.21,0.04,0.07,0.04,0.09,0.11,0.13,0.23,0.15,0.29,0.28,1,0.47,0.14,0.163157895,0.305,0.146470588,,,,
,chocolate,0.13,0.29,0.02,-0.01,0,0.34,0.22,0.04,-0.01,0,0.13,0.07,0.17,0.4,0.04,0.24,0.1,0.47,1,0.11,0.144736842,0.11,0.146666667,,,,
,yum,-0.02,0.15,0.03,0,0.06,0.13,0.13,-0.03,0.1,-0.02,0.16,-0.01,0.01,0.09,-0.02,0.12,-0.03,0.14,0.11,1,0.057894737,,0.057894737,,,,
,,,,,,,,,,,,,,,,,,,,,,0.091263158,0.109988377,0.092200597,,,,
3,Document,toaster,bread,bread,butter,peanuts,walnuts,Walmart,shopper,cashier,bellhop,hotel,Tipton,London,Mosby,Disney,Star Wars,Wookiee,R2D2,Droid,Apple,,,,,,,1
,toaster,1,0.21,0.21,0.21,0.05,0.02,N/A,0.11,0.03,0.02,0.02,0.03,-0.01,N/A,0,-0.01,N/A,N/A,0.01,0.07,0.064666667,0.064666667,,0.299166667,0.217,0.114545455,
,bread,0.21,1,1,0.77,0.34,0.32,N/A,0.11,0.08,0,0.11,0.02,0.07,N/A,-0.02,0.01,N/A,N/A,-0.04,0.37,0.223333333,0.224285714,0.21,,,,
,bread,0.21,1,1,0.77,0.34,0.32,N/A,0.11,0.08,0,0.11,0.02,0.07,N/A,-0.02,0.01,N/A,N/A,-0.04,0.37,0.223333333,0.164615385,0.605,,,,
,butter,0.21,0.77,0.77,1,0.37,0.24,N/A,0.14,0.14,0.06,0.06,0.07,0.01,N/A,-0.01,0.02,N/A,N/A,-0.03,0.34,0.210666667,0.1175,0.583333333,,,,
,peanuts,0.05,0.34,0.34,0.37,1,0.39,N/A,0.08,0.09,0.02,0.1,0,-0.02,N/A,-0.02,0.06,N/A,N/A,0.06,0.19,0.136666667,0.086363636,0.275,,,,
,walnuts,0.02,0.32,0.32,0.24,0.39,1,N/A,0.04,-0.01,-0.06,-0.01,-0.01,0.1,N/A,0.04,0.03,N/A,N/A,0.01,0.37,0.119333333,0.05,0.258,,,,
,Walmart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,shopper,0.11,0.11,0.11,0.14,0.08,0.04,N/A,1,0.31,0.09,0.12,-0.06,-0.04,N/A,-0.01,0,N/A,N/A,0.04,0.05,0.072666667,0.055555556,0.098333333,,,,
,cashier,0.03,0.08,0.08,0.14,0.09,-0.01,N/A,0.31,1,0.06,0.07,0.02,0,N/A,-0.02,-0.01,N/A,N/A,-0.05,0.04,0.055333333,0.01375,0.102857143,,,,
,bellhop,0.02,0,0,0.06,0.02,-0.06,N/A,0.09,0.06,1,0.42,-0.03,0.05,N/A,-0.06,0.02,N/A,N/A,0.08,0,0.044666667,0.068571429,0.02375,,,,
,hotel,0.02,0.11,0.11,0.06,0.1,-0.01,N/A,0.12,0.07,0.42,1,-0.06,0.34,N/A,-0.03,0.06,N/A,N/A,0.1,0.13,0.102666667,0.09,0.111111111,,,,
,Tipton,0.03,0.02,0.02,0.07,0,-0.01,N/A,-0.06,0.02,-0.03,-0.06,1,-0.01,N/A,0.01,0.01,N/A,N/A,0.01,-0.04,-0.001333333,-0.004,0,,,,
,London,-0.01,0.07,0.07,0.01,-0.02,0.1,N/A,-0.04,0,0.05,0.34,-0.01,1,N/A,0.1,0.1,N/A,N/A,0.06,0.09,0.060666667,0.0875,0.050909091,,,,
,Mosby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,Disney,0,-0.02,-0.02,-0.01,-0.02,0.04,N/A,-0.01,-0.02,-0.06,-0.03,0.01,0.1,N/A,1,0.11,N/A,N/A,0.04,0.02,0.008666667,0.056666667,-0.003333333,,,,
,Star Wars,-0.01,0.01,0.01,0.02,0.06,0.03,N/A,0,-0.01,0.02,0.06,0.01,0.1,N/A,0.11,1,N/A,N/A,0.02,0.01,0.029333333,0.015,0.031538462,,,,
,Wookiee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,R2D2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,Droid,0.01,-0.04,-0.04,-0.03,0.06,0.01,N/A,0.04,-0.05,0.08,0.1,0.01,0.06,N/A,0.04,0.02,N/A,N/A,1,0.02,0.019333333,0.02,0.019285714,,,,
,Apple,0.07,0.37,0.37,0.34,0.19,0.37,N/A,0.05,0.04,0,0.13,-0.04,0.09,N/A,0.02,0.01,N/A,N/A,0.02,1,0.135333333,,0.135333333,,,,
,,,,,,,,,,,,,,,,,,,,,,0.094083333,0.07403167,0.168984632,,,,
4,Document,toaster,bread,white,people,fingers,pen,blue,sky,clouds,thoughts,meditation,mantra,relaxation,eyes,head,brain,pink,majin buu,fighting,man,,,,,,,1
,toaster,1,0.21,0.01,0.09,0.05,0.02,0.02,0.01,0.03,0,0.05,N/A,-0.01,0.02,0.02,0,0.01,N/A,0,0.03,0.032941176,0.032941176,,0.216,0.142857143,0.133571429,
,bread,0.21,1,0.1,0.14,0.15,0.07,0.07,0.07,0.03,0.1,0.09,N/A,0.03,0.13,0.16,0.01,0.16,N/A,0.04,0.08,0.096470588,0.089375,0.21,,,,
,white,0.01,0.1,1,0.18,0.17,0.08,0.49,0.27,0.16,0.12,0.01,N/A,0.05,0.27,0.23,0.03,0.5,N/A,0.15,0.23,0.179411765,0.196,0.055,,,,
,people,0.09,0.14,0.18,1,0.12,0.1,0.14,0.15,0.1,0.25,0.17,N/A,0.11,0.16,0.17,0.07,0.11,N/A,0.21,0.21,0.145882353,0.147857143,0.136666667,,,,
,fingers,0.05,0.15,0.17,0.12,1,0.2,0.26,0.15,0.03,0.23,0.24,N/A,0.12,0.57,0.62,0.14,0.43,N/A,0.06,0.18,0.218823529,0.248461538,0.1225,,,,
,pen,0.02,0.07,0.08,0.1,0.2,1,0.12,0.06,0.01,0.32,0.09,N/A,0.02,0.2,0.16,0.02,0.19,N/A,0.05,0.11,0.107058824,0.1125,0.094,,,,
,blue,0.02,0.07,0.49,0.14,0.26,0.12,1,0.43,0.19,0.12,0.08,N/A,0.02,0.4,0.25,0.05,0.72,N/A,0.05,0.16,0.21,0.224545455,0.183333333,,,,
,sky,0.01,0.07,0.27,0.15,0.15,0.06,0.43,1,0.58,0.08,0.05,N/A,0.01,0.23,0.18,0,0.25,N/A,0.06,0.12,0.158823529,0.156,0.162857143,,,,
,clouds,0.03,0.03,0.16,0.1,0.03,0.01,0.19,0.58,1,0.04,0.02,N/A,0,0.12,0.09,0,0.1,N/A,0.04,0.05,0.093529412,0.051111111,0.14125,,,,
,thoughts,0,0.1,0.12,0.25,0.23,0.32,0.12,0.08,0.04,1,0.32,N/A,0.15,0.27,0.23,0.11,0.13,N/A,0.07,0.16,0.158823529,0.18,0.14,,,,
,meditation,0.05,0.09,0.01,0.17,0.24,0.09,0.08,0.05,0.02,0.32,1,N/A,0.3,0.13,0.16,0.3,0.06,N/A,0.01,0.12,0.129411765,0.154285714,0.112,,,,
,mantra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,relaxation,-0.01,0.03,0.05,0.11,0.12,0.02,0.02,0.01,0,0.15,0.3,N/A,1,0.06,0.08,0.16,0.05,N/A,0,0.02,0.068823529,0.061666667,0.072727273,,,,
,eyes,0.02,0.13,0.27,0.16,0.57,0.2,0.4,0.23,0.12,0.27,0.13,N/A,0.06,1,0.61,0.19,0.51,N/A,0.08,0.27,0.248235294,0.332,0.213333333,,,,
,head,0.02,0.16,0.23,0.17,0.62,0.16,0.25,0.18,0.09,0.23,0.16,N/A,0.08,0.61,1,0.13,0.38,N/A,0.11,0.29,0.227647059,0.2275,0.227692308,,,,
,brain,0,0.01,0.03,0.07,0.14,0.02,0.05,0,0,0.11,0.3,N/A,0.16,0.19,0.13,1,-0.01,N/A,0.02,0.07,0.075882353,0.026666667,0.086428571,,,,
,pink,0.01,0.16,0.5,0.11,0.43,0.19,0.72,0.25,0.1,0.13,0.06,N/A,0.05,0.51,0.38,-0.01,1,N/A,0.02,0.11,0.218823529,0.065,0.239333333,,,,
,majin buu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,fighting,0,0.04,0.15,0.21,0.06,0.05,0.05,0.06,0.04,0.07,0.01,N/A,0,0.08,0.11,0.02,0.02,N/A,1,0.15,0.065882353,0.15,0.060625,,,,
,man,0.03,0.08,0.23,0.21,0.18,0.11,0.16,0.12,0.05,0.16,0.12,N/A,0.02,0.27,0.29,0.07,0.11,N/A,0.15,1,0.138823529,,0.138823529,,,,
,,,,,,,,,,,,,,,,,,,,,,0.143071895,0.144465322,0.141109185,,,,
5,Document,toaster,toast,bread,butter,milk,cow,farm,animals,nature,outdoors,trees,gardening,leaves,green,kermit,muppets,kids,summer camp,museum,programs,,,,,,,1
,toaster,1,0.33,0.21,0.21,0.12,0.06,0.03,0,0.05,0.17,0.03,0.02,0.04,0.04,0.07,0.07,0.02,0.01,-0.01,0,0.077368421,0.077368421,,0.324736842,0.210555556,0.159411765,
,toast,0.33,1,0.59,0.6,0.49,0.23,0.09,0.01,0.02,0.25,0.04,0.12,0.07,0.09,0.02,0.05,0.18,0.12,0.05,-0.02,0.175263158,0.166666667,0.33,,,,
,bread,0.21,0.59,1,0.77,0.64,0.29,0.11,0.05,0.03,0.22,0.1,0.15,0.07,0.15,0.07,0.07,0.05,0.09,0.05,0.02,0.196315789,0.172352941,0.4,,,,
,butter,0.21,0.6,0.77,1,0.78,0.34,0.1,0.06,0.04,0.27,0.08,0.12,0.05,0.11,0.07,0.1,0.11,0.08,0.05,0.01,0.207894737,0.148125,0.526666667,,,,
,milk,0.12,0.49,0.64,0.78,1,0.6,0.21,0.18,0.04,0.23,0.05,0.05,0.05,0.07,0,0.01,0.07,0.05,0.02,0.01,0.193157895,0.109333333,0.5075,,,,
,cow,0.06,0.23,0.29,0.34,0.6,1,0.42,0.17,0.07,0.2,0.12,0.1,0.12,0.14,-0.04,0,0.08,0.15,0.03,0.04,0.164210526,0.114285714,0.304,,,,
,farm,0.03,0.09,0.11,0.1,0.21,0.42,1,0.14,0.06,0.18,0.15,0.17,0.05,0.07,0,0.02,0.03,0.14,0.08,0.04,0.11,0.086923077,0.16,,,,
,animals,0,0.01,0.05,0.06,0.18,0.17,0.14,1,0.2,0.24,0.21,0.09,0.16,0.18,-0.03,-0.02,0.02,0.13,0.14,0.01,0.102105263,0.110833333,0.087142857,,,,
,nature,0.05,0.02,0.03,0.04,0.04,0.07,0.06,0.2,1,0.2,0.14,0.09,0.1,0.08,-0.05,-0.03,0.05,0.14,0.18,0.08,0.078421053,0.089090909,0.06375,,,,
,outdoors,0.17,0.25,0.22,0.27,0.23,0.2,0.18,0.24,0.2,1,0.26,0.26,0.22,0.19,0.03,0.11,0.19,0.48,0.19,0.06,0.207894737,0.199,0.217777778,,,,
